SECTION, TITLE, DESCRIPTION
CORE 105, University Writing 3+2 4 Cr.,  An introductory course designed to help undergraduates read and write essays in order to participate in the academic conversations that form Valparaiso’s intellectual community. While engaging with pieces of Western Literature the course gives special attention to the practices of close reading rhetorical analysis collaboration and substantive revision. By writing multiple drafts of essays typically ranging from three to ten pages students will learn that writing is a process of forming and refining their ideas and their prose. The course teaches writing as a unique skill that can be practiced and developed. 
CORE 110, The Human Experience 5 Cr.,  A writing-intensive interdisciplinary course that initiates first year students into the VU academic community by exploring significant themes in human experience engaging students with resources from the areas of history theology philosophy literature and the arts. It is a core experience extending for two semesters 5 credits each semester in seminar sections of about 20 students. It is taught by a trained core faculty from areas across the University the faculty meeting regularly to promote extensive collaborative activity for both faculty and students.  
CORE 115, The Human Experience 5 Cr.,  A writing-intensive interdisciplinary course that initiates first year students into the VU academic community by exploring significant themes in human experience engaging students with resources from the areas of history theology philosophy literature and the arts. It is a core experience extending for two semesters 5 credits each semester in seminar sections of about 20 students. It is taught by a trained core faculty from areas across the University the faculty meeting regularly to promote extensive collaborative activity for both faculty and students.  
ED 381, Cooperative Education I 0.,5-3 Cr.  This course is a prearranged approved professional work experience with a cooperating employer. A written report is required of each student. The prerequisites are one year in residence a minimum cumulative grade point average of 2.500 and the approval of the coordinator of cooperative education. 
GS 100, Strategies for Academic Success 1 Cr.,  A seminar designed to offer skill development and student success strategies that will enhance and promote academic achievement. Course topics include effective use of study time and learning strategies (active reading note taking organizing memory techniques) test preparation (study plans) test-taking techniques time management overcoming procrastination goal setting motivation decision making developing a strength-based mindset and using academic support resources on campus. The course meets over a 14-week or 7-week period depending on the section. 
GS 105, Transitioning to Valpo for International Students 1 Cr.,  A seminar designed to offer success strategies and skill development (especially in writing and speaking English) for international students new to living and studying in the U.S. Readings writings discussions and activities in the course will provide support for students’ successful integration into campus culture while maintaining cultural identity. Course topics include transitioning to the U.S. academic social and political culture thinking independently and creatively learning about academic honesty meeting academic challenges understanding University policies and procedures using campus resources getting involved in campus activities participating in class and interacting with professors. A 7-week course offered in both fall and spring semesters. 
GS 180., Students will gain experience in language skills speech behaviors cultural knowledge and socialization., Requirements include a minimum number of conversation hours as well as a written reflection. Permission of the instructor is required. S/U grade. May be repeated for up to 2 total credits. International Students only. 
GS 150, Exploratory Studies 2 Cr.,  This course will focus on three areas: an analysis of students’ personal strengths interests beliefs and values; a concentrated exploration of academic majors; and an introduction to career exploration and preparedness. Study and discussion of texts and films along with informal and formal writing will help students as they are guided to discern possible academic career and vocational pathways. This course will be required of all exploratory students in the first semester of their freshman year; any freshman or sophomore student may elect to take the course. 
GS 180, Civic Engagement 1-2 Cr.,  This course recognizes student volunteer service work for the community. Students earn the credit by completing a specific project which may be initiated as part of a particular course through a recognized University service organization or independently. If students undertake the project through a service organization or independently a professor must certify the project as appropriate supervise its completion and assign the grade. Students must file a proposal with the supervising professor and register for the credit. The proposal must present a detailed overview of the work of the project which must entail a substantial time commitment (a minimum of 45 hours of work is required for each credit) and identify a written reflection component specifically related to the project. Students may not earn additional GS credit for work already required by the service-learning component of a course. Internship students may earn GS credit through an additional project with the consent of the instructor. S/U grade. This course may be repeated for up to 3 total credits. 
GS 200, Study Circle on Race Relations 2 Cr.,  This course will offer 8-20 students the opportunity to engage in a series of participatory democratic discussions about race relations on campus and in society. In addition students will learn how to become involved in improving human relations by developing and implementing an 'action plan' component that involves collaborative practical strategies that improve race and ethnic relations on campus and in our community. The instructor(s) for the course will serve as facilitator(s) establishing ground rules for a safe focused discussion in which participants can exchange ideas freely and consider a variety of views about race relations in America. This course is offered for S/U grade only and may be used in partial fulfillment of the Cultural Diversity component of the General Education Requirements. College of Arts and Sciences 67 
GS 200, and who want to become facilitators for Study Circles on Race Relations., By taking this course students will understand what a study circle is learn about specific study circle programs understand the role of a facilitator and practice the basic skills needed to be an effective study circle leader. There will be weekly readings and reflection papers as well as an end of the term report. This course is offered for S/U grade only and may be used in partial fulfillment of the Cultural Diversity component of the General Education Requirements.  
GS 200, action plan., Students must file a proposal with one of the co-directors of the Study Circles program and identify a written reflection component specifically related to the project in order to register for the course. The proposal must present a detailed overview of the work of the project. A minimum of 20 hours of work is required. This course is offered for S/U grade only and may be used in partial fulfillment of the Cultural Diversity course component of the General Education Requirements.  
GS 220, Contemporary Issues in Philanthropy and Service 3 Cr.,  This course examines current trends and challenges in the fields of philanthropy service and non-profit leadership. Topics may include the rise in social enterprises venture philanthropy micro-lending and the influence of technology on giving patterns. The course will also emphasize the shifting roles and relationships of the private public and non-profit sectors in meeting social needs and leading social change.  
GS 386, Internship 1-6 Cr.,  Students may arrange in consultation with a dean in the College of Arts and Sciences for an experiential-learning work opportunity in a supervised internship. Midterm progress report and final report required. Proposals for General Studies internships must be approved by the dean of the college. Limited to internship credit that does not meet the requirements for internship credit in a disciplinary curriculum. S/U Grade only. 
GS 394, Health Care Professional Apprenticeship 1 Cr.,  The course is designed to provide an opportunity for students to observe health care professionals at work in a hospital or clinic setting. The student is required to spend at least 120 hours shadowing one or more health care professionals. Students must submit a daily journal and paper detailing their experiences to their academic advisor. S/U grade. 200; and approval of the academic advisor. 
GS 395, Independent Study Project 1-4 Cr.,  An independent project is conducted on a topic selected by a group or individual. Graded S/U.  This course is administered by the dean of the College for students who desire to work on a specialized academic project. A proposal for an independent study project must be submitted at least three weeks before the beginning of the registration period for the semester in which the project is to occur. Further details and an application form may be obtained at the Office of the Dean of the College of Arts and Sciences. College of Arts and Sciences 68 Natural Science Courses 
NS 101, Introduction to Forensic Science 2+3 3 Cr.,  Forensic science is the application of scientific principles to criminal and civil laws within a criminal justice system with the goal toward establishment of guilt or innocence. This course is designed to introduce some of the specialized fields of forensic science to learn the fundamental principles of science and technology upon which they are based and to apply them to a number of suspicious situations and criminal cases. This course is intended for non-science majors for partial fulfillment of the General Education Requirements in Natural Science. Not open to students who have received credit for 
NS 102, Science of the Indiana Dunes 2+3 3 Cr.,  This course poses questions about how earth systems work together to produce the physical landscape of the dunes and also asks scientific questions about the human transformation of that landscape. The course is problem oriented and explores questions about the interaction among ecology/biogeography atmosphere water and geology. It also examines the local environment in both regional and global contexts considering questions about how change shapes the environment both in the past and into the future. Throughout students learn scientific concepts and methods and gain basic scientific literacy in order to understand the landscape. This course is intended for non-science majors for partial fulfillment of the General Education Requirements in Natural Science and includes a laboratory component.  
NS 103, Practical Stream Stewardship: How to Save the Planet One Trout at a Time 2+3 3 Cr.,  An interdisciplinary course with laboratory designed to train students to apply the scientific method to restore a river. Through site visits and field observations students will survey a river to discover limiting factors then plan and execute improvements. Discussions will include finding community partners permitting and financing restorations and learning a philosophy which guides us to attainable ends. Fieldwork is suited for someone with an active lifestyle who enjoys the outdoors. This will be a hybrid course taught in Summer II. Lectures will be online; laboratories (fieldwork) will be on Saturdays from 9 a.m. to 4 p.m. 
NS 104, Principles of Evolution 2+2 3 Cr.,  An introduction to evolutionary principles. Topics may include mutation selection genetics abiogenesis and speciation. Responses to evolutionary theory including social Darwinism eugenics and creationism will also be discussed. This course is intended for non-science majors for partial fulfillment of the General Education requirements in Natural Science and includes a laboratory component. 
NS 105, Discovering Insects: Pests or Pals? 2+3 3 Cr.,  This course introduces students to the biodiversity within the bizarre and alien world of insects. It uses insects as a platform to discuss important biological principles. Topics include insects as a life form the interaction of insects and humans and insects of medical/forensic importance. The lab focuses on basic insect identification and insect behavior experiments. This course is intended for non-science majors for partial fulfillment of the General Education Requirements in Natural Science and includes a laboratory component.  
PHYS 490.,) A study of foundational principles and assumptions of the scientific endeavor its various methodologies and its scope and limitations., This will include illustrations from historical case studies and "scientific revolutions." Students will also study the ethical and moral connections between their personal and professional lives.  This course may not be used to fulfill the requirements of a science major. This course may be used to fulfill the Humanities: Philosophy requirement of the General Education Requirements when cross-listed with 
ART 102, Renaissance to Modern Art History 3 Cr., 3 other Art History courses Degrees Completion of the degree requirements of the College of Arts and Sciences with a major in art leads to the Bachelor of Arts degree intended to provide a general art background. Specialization in art education is possible in the B.A. program; consult the Education Department concerning state and University requirements. Approval of Schedules Students who take a major or a minor in art must have their schedules approved by their advisor prior to the beginning of each semester. Students who expect to teach art should consult as early as possible the appropriate advisor in the Education Department concerning state and University requirements. Art History Courses 
ART 311,/511 Topics in the Theory and History of Art 1-4 Cr.,  An investigation of major periods or developments in the visual arts. Included may be historical topics such as issues in contemporary art symbolism and global art history. Field trip. May be repeated for credit provided topics are different. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
ART 321,/521 American Art and Architecture 3 Cr.,  A survey of American painting sculpture and the building arts beginning with the earliest settlements in Virginia and New England. Several areas of focus will be integrated with field trips to museums and an architectural tour of landmark buildings. Emphasis will be placed on colonial and modern architecture nineteenth century realism and romanticism and the emergence of modernism and abstraction in the twentieth century. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  Museum Studies Courses 
ART 210, Museum Studies 3 Cr.,  Introduces students to the practices of museums and collection maintenance based within the nationally-recognized Brauer Museum of Art. Students learn about the duties of the director curator registrar and preparator. Study includes discussion of texts and general museum operations exposure to careers in art museums and meetings with professionals in the field. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.    Art 78 Digital & Studio Art Courses 
ART 130, Introduction to 2D and 3D Design 0+6 3 Cr.,  An introduction to the visual language and materials used in the studio arts. Students explore both two-dimensional and three-dimensional elements and principles of organization within a work of art. Materials used may include ink paint collage photomontage wire plaster wood etc. Field trip. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
ART 132, Introduction to Design and Digital Media 0+6 3 Cr.,  An introduction to the basic elements and principles of Digital Media Arts. Student learn basic familiarity in Adobe Photoshop Adobe Illustrator and time-based media. Field trip. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
ART 163, Introduction to Digital Photography 0+6 3 Cr.,  Introduction to digital photography addressing how images are made seen and valued. Each student must have a working digital camera. Field trip. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
ART 215, Printmaking 0+6 3 Cr.,  Students will gain a basic familiarity with the various methods of creating original prints. Whereas other forms of pictorial art focus on the creation of a unique product printmaking is primarily about creating a matrix from which multiples can be generated. Types of printmaking covered in the class will include serigraphy or screenprinting intaglio (specifically drypoints made using plexiglass plates) monotype and relief. Students will learn concepts such as proofing and editioning and will use an intaglio press for particular projects. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
ART 227, Figure Drawing 0+6 3 Cr.,  An intermediate course in drawing from the human figure. Emphasis is placed on the unique formal technical and conceptual issues involved in the representation of the human form. Media used may include pencil charcoal conté crayon pen brush or ink. Field trip. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
COMM 331.,) This course focuses on the use of the World Wide Web for communication objectives., It includes functions and operations of advanced web design software integration of digital audio and video with web content and individual projects. Includes online course content delivery components. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  
ART 390,/590 Special Studies 3 Cr.,  Specialized work in the practice of art the teaching of art and the history of art arranged by a professor and one or more advanced students. Work in crafts liturgical design etc. may be included. An S/U grade option may be stipulated at the beginning of the course. May be repeated for credit. Field trip.  A formal written proposal is required before registration. The proposal becomes a permanent part of the student’s file. 
ART 435, Senior Thesis in Studio Arts 3 Cr.,  This course is an intense project-driven learning experience supervised by faculty. Students will spend an entire semester working on projects designed presented and approved the previous semester. Final works created during this time will be exhibited at the end of the semester.  
ART 436, Senior Thesis in Digital Arts 3 Cr.,  This course is an intense project-driven learning experience supervised by faculty. Students will spend an entire semester working on projects designed presented and approved the previous semester. Final works created during this time will be exhibited at the end of the semester.  
ART 498, Honors Candidacy in Art 3 Cr.,  See Honors Work page 64. Biology 84 Senior Assessment Examination All graduating seniors will take the Biology Assessment Examination during their final semester of biology instruction. See the chair of the department for details. Approval of Schedules All students taking majors or minors in biology and all students planning to teach biological subjects must have their schedules approved by their academic advisors at the beginning of each semester. Note: Entering students who satisfy requirements for Biology 171 and 172 or equivalent by passing the College Level Examination Program (CLEP) examination in Biology or the Advanced Placement Examination (AP) in Biology are granted 8 credit hours toward graduation. Students who pass the International Baccalaureate (IB) Examination in Biology are granted 4 credit hours for 
BIO 125, Biotechnology 3+2 4 Cr.,  An introductory study of modern biology in which those aspects of biotechnology that affect the welfare of humanity are emphasized. This course is recommended for non-science majors who wish to take a biology course for partial fulfillment of the General Education Requirements in Natural Science and includes a laboratory component. Not open to students who have received credit for 
BIO 151, Human Anatomy and Physiology I 3+3 4 Cr.,  An introductory study of the physiochemical nature of cells and tissues cell division and human genetics the musculoskeletal system the nervous system and special senses and chemical control. Course includes a laboratory component. May be used in partial fulfillment of the General Education Requirements in Natural Science. This course is required for nursing physical education and some allied health students.  Students may register concurrently for 
BIO 152, Human Anatomy and Physiology II 3+3 4 Cr.,  A continuation of Human Anatomy and Physiology I. A study of hematology and the anatomy and physiology of the following organ systems: cardiovascular respiratory digestive excretory endocrine and reproductive. Course includes a laboratory component. May be used for partial fulfillment of the General Education Requirements in Natural Science.  
BIO 171, Unity of Life 3+3 4 Cr.,  A study of organic molecules cells tissues and organs for biology majors and general biology minors. Emphasis is placed on the principles which unify all living forms: structure energetics physiology inheritance and development. Course includes a laboratory component. May be used in partial fulfillment of the General Education Requirements in Natural Science. This course is required for biology majors and general biology minors including pre-medical and some other pre-professional students.  
BIO 172, Diversity of Life 3+3 4 Cr.,  A survey of the kingdoms of organisms their relationships and origins and their roles in the economy of nature. Emphasis is on the structures and their functions life cycles development distribution ecology evolution and the social and economic importance of representative members. Course includes a laboratory component. Field trips are required. May be used in partial fulfillment of the General Education Requirements in Natural Science.  
BIO 215, Fundamental Microbiology for Engineers 3 Cr.,  A fundamental study of the structure function and growth of microorganisms. Roles of microorganisms in industry and the environment will be considered. Open only to students enrolled in the College of Engineering with sophomore standing or above or with consent of the department chair.  
BIO 250, Human Environmental Biology 3 Cr.,  A study of the relationships between humans technology and the environment. Emphasis is placed on ecological principles human population growth resources and pollution. May be used by Elementary Education majors to fulfill the conservation requirement. Field trips are required. 
BIO 270, Genetics and Genome Evolution 3+3 4 Cr.,  An introductory study of the basic laws of genetics the physical and chemical basis of inheritance genes as functional and structural units of heredity and development mutation variation and evolution of genomes. Human genetics and social implications are discussed. Course includes a laboratory component. May be used in partial fulfillment of the General Education Requirements in Natural Science.  
BIO 290, Biological Topics 2-4 Cr.,  A consideration of various topics in biology through lectures laboratory work field work and conferences. The topics are related to staff and student interests. May be taken more than once if topics are different. Course may include a laboratory component.  Examples of probable offerings are Tissue Culture and Parasitology. 
BIO 310, Evolution 3 Cr.,  This course explores the principles of modern evolutionary biology. Topics include the history of life on earth population genetic models to explore evolutionary change and molecular and phylogenetic approaches to understanding evolutionary theory. The application of evolutionary theory to medicine and ecology will also be covered.  
BIO 330, Arthropods and Disease 3 Cr.,  A study of the arthropods that cause disease in humans and animals. The course will focus on the biology of the arthropods that make them effective vectors of disease. Control of arthropod borne disease will be discussed. Topics will change as new diseases emerge but possible topics include: mosquito biology malaria dengue hemorrhagic fever bed bugs and Lyme disease.  
BIO 270, Genetics and Genome Evolution., This course explores complications of simple Mendelian genetics and related genetic technologies. Topics may include human genome mapping sequencing and evolution complex genetic traits gene therapy genetic testing and DNA fingerprinting. Special attention is given to the ethical issues raised by emerging technologies in genetics.     Biology 86 
BIO 350, Field Biology: Spring 2+4 3 Cr.,  This course is designed to acquaint students with organisms they are likely to encounter in the field in the late winter and spring months. The lectures emphasize the flowering plants and/or birds but in the field attention is paid to other common or conspicuous organisms. Field trips are required. Course includes a laboratory component.  
BIO 360, Modern Microscopy 2+3 3 Cr.,  An advanced study of practical techniques of light microscopy scanning electron microscopy and digital image processing. Emphasis is placed upon producing micrographs that convincingly illustrate results of biology experiments. Collaboration with student investigators in other courses is strongly encouraged. Course includes a laboratory component.  
BIO 370, Neurobiology 3 Cr.,  Organization and function of the vertebrate nervous system from the tissue to the organismal levels with focus on cellular and molecular neurobiology. Main topics include the electrochemical bases of neural communication cellular bases of sensations motor behaviors and homeostasis. Students will read primary literature.  
BIO 380, Principles of Human Physiology 3 Cr.,  A study of the function of and interactions between organ systems and the mechanisms that regulate their physiology. Emphasis is placed on the basic principles of homeostasis and an introduction to disease physiology and drug actions.  Not open to students with credit for 
BIO 430, Plant Biology 3+3 4 Cr.,  An introduction to the principles and methods of plant systematics and their use in the understanding of plant form function and natural history. Laboratories emphasize how genomics is shaping views of plant evolution. Laboratory work will also include a survey of plant taxonomy with an emphasis on the flora of the Midwest. Field trips required.  
BIO 445, Forensic Biology 3+3 4 Cr.,  A study of the biological fields associated with forensic science. Forensic entomology anthropology botany taphonomy and serology will be discussed in detail. The laboratory will focus on field collection techniques and evidence recovery of biological specimens. Field trips are required.  
BIO 460, Cell Biology 3+3 4 Cr.,  A study of the fundamental physiological activities of animal and plant cells and tissues. The course includes lectures assigned readings and laboratory work in cell structure organelles energy transformation membrane transport excitability contraction and signal transduction.  
BIO 486, Internship in Biological Science 0.,5-2 Cr.  Students gain experience in biology by working for private or public research/diagnostic labs state or federal agencies environmental consulting firms nonprofit environmental groups or other appropriate organizations. Final written report required. This course may not be counted toward a major or a minor in this department. S/U grade only.  Biology 87 
BIO 493, Seminar in Biology 1 Cr.,  Student and staff presentation and discussion of selected topics in biology. Current topics are Animal Behavior Biological Controversies Embryology Immunology and Diet and Disease. Intended for seniors.  Normally three topics are offered each semester so that during a two-year period a broad spectrum of topics is available. A maximum of four seminars (on different topics) may be credited toward graduation. S/U grade optional. 
BIO 499, Biology Colloquium 0-1 Cr.,  Biology majors and minors are encouraged to register for this course. Colloquium presents insights into the living world beyond the material found in regular course offerings. S/U grade.  Chemistry 91 Secondary Education Majors Students intending to meet licensure requirements for secondary education with chemistry as their primary content area must complete a B.S. major of at least 32 credits in chemistry. In the 32-credit major 
NS 490, and 8 credits of physics., Chemistry Club The Chemistry Club an affiliate of the American Chemical Society provides extracurricular opportunities for students interested in chemistry. Cooperative Education Qualified students may combine semesters in chemical research at a professional work site with other semesters of traditional academic studies on campus. Although this program will probably extend the participating student’s college education beyond the normal four years the students will be financially reimbursed by the cooperating employer and also receive credit toward the chemistry major. No more than six credits earned in Cooperative Education may be applied toward minimum requirements of the major in Chemistry. Enrollment in this program is limited by the availability of positions offered by suitable cooperating companies. Eligible students are junior or senior chemistry majors who have completed 
CHEM 111, Introduction to Chemistry 3+2 4 Cr.,  A one semester overview of general organic and biochemistry. Intended for non-science majors who elect chemistry to meet one part of the natural science requirement. Course includes a laboratory component. Students with a major or minor in elementary education nursing or physical education ordinarily take this course to meet their chemistry requirement. Not open to students with credit for 
CHEM 121, General Chemistry I 3+3 4 Cr.,  An introductory course in the principles of chemistry for science majors. The first of a two semester sequence. Course includes a laboratory component. Required of majors and minors in chemistry and students in pre-medical pre-dental or medical technology programs except for students who take 
CHEM 340, Forensic Chemistry 2+3 3 Cr.,  A study of the chemical fields associated with forensic science including toxicology illicit drug analysis and trace evidence analysis. Course includes a laboratory component. The course will focus on procedures and instrumentation that are commonly employed in a forensic chemistry laboratory such as evidence collection and preparation for analysis spectrophotometry chromatography and microscopy.  
PHYS 490.,) An exploration of the scientific enterprise involving a study of foundational principles and assumptions of the scientific endeavor its various methodologies and its scope and limitations., This will include illustrations from historical case studies and "scientific revolutions." Students will also study the ethical and moral connections between their personal and professional science lives.  This course may not be used to fulfill the requirements of a science major. This course may be used to fulfill the Humanities: Philosophy requirement of the General Education Requirements when cross-listed with 
COMM 490, Topics in Communication (as approved for major) 3 Cr., Cooperative Education Qualifying students may participate in prearranged approved professional work experiences. During their employment students are financially reimbursed by the cooperating employer. Credits earned in this program apply toward the major and may substitute for internship requirements. For further information refer to Cooperative Education College of Arts and Sciences page 64. Cinema and Media Studies Minor The Department of Communication also offers several courses including 
COMM 100, Communication Processes and Practice 3 Cr.,  This course views communication from a critical cultural perspective. Students are introduced to the processes of communication as they operate within a global context. Students learn oral and written formats including research design for specific areas of communication such as public communication mass media (broadcast and print) public relations and digital and mass communication technology. 
COMM 145, Interpersonal Communication 3 Cr.,  This course provides a study of verbal and nonverbal communication at a variety of person-centered levels including intrapersonal dyadic and small groups. Emphasis is on interactive skill development in both face-to-face and digital modalities including strategies for self-presentation and relational development in personal and professional contexts. 
ART 230.,) This course provides an introduction to graphic design with emphasis on typographic solutions., Content includes computer-generated illustration charts and graphs to newsletter and related page layout procedures. No prior computer experience is required. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education requirements. 
COMM 243, Public Communication 3 Cr.,  This course develops speaking and listening skills in the context of informative persuasive commemorative and group presentations. Students are introduced to fundamental concepts of effective public speaking including audience analysis outlining research delivery critical listening evaluation and use of appropriate aides and technology. Students work both individually and in collaboration with the instructor and other students. 
ENGL 370.,) This course introduces students to basic concepts in film analysis., Students employ these concepts in analyzing and describing the varied styles functions and social contexts of classical Hollywood documentary avant garde and world art cinema. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
COMM 271, Cinema Production 3 Cr.,  This course provides a practical hands-on overview of single camera field production techniques including pre-production camera operation and aesthetics lighting sound recording and non-linear editing. Emphasis is placed on the language of audio-visual storytelling through a series of individual projects. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements. 
COMM 286, Campus Media Practicum 1 Cr.,  This practicum is designed to provide credit for substantive work in an approved position on the staff of the campus media outlets including WVUR (the campus radio station) The Torch (the campus newspaper) VUTV (the campus cable channel) and the Beacon (the campus yearbook). Work may include news writing and editing programming traffic production promotion design and other approved assignments. Offered every semester.  S/U grade only. May be repeated for a total of 3 credit hours.  Communication 100 
COMM 291, Topics in World Cinema 3 Cr.,  Students examine and analyze the cinema of a particular country or region both in its cultural context and in its relation to global film production and exhibition. May be repeated for credit if topics are different. May be used to fulfill the Humanities: Fine and Performing Arts or Cultural Diversity component of the General Education requirements. 
COMM 301,/570 Communication Law and Ethics 3 Cr.,  This course provides an introduction to the legal regulation of communication in traditional and digital environments. Topics include the First Amendment defamation and privacy reporter privileges and rights government regulation of broadcast media indecent and obscene speech commercial speech and an introduction to copyright law. This course also explores moral and ethical dilemmas that arise in the context of media communication. 
COMM 311,/511 Organizational Communication 3 Cr.,  This course explores communication theory and practice in complex organizations including how language and technology shape the contemporary experience of work. A critical cultural perspective on communication allows students to explore how strategic communication and advocacy affect broader discourses about career issues and their resolution in modern life. 
COMM 322,/503 Sports Media Formats 3 Cr.,  This course serves as an introduction to the sports media industry and focuses on the reporting producing and planning that goes into all forms of media. In addition to the how and why of sports media the ethics of sports journalism and the role of sports in society also will be examined.  
ART 331.,) This course focuses on the use of the World Wide Web for communication objectives., It includes functions and operations of advanced web design software integration of digital audio and video with web content and individual projects. Includes online course content delivery components. May be used to fulfill the Humanities: Fine and Performing Arts component of the General Education Requirements.  
COMM 360, Strategic Communication and Technology 3 Cr.,  This course focuses on the multiple channels of traditional and emerging technologies used for communication at the personal and organizational levels. Students critically evaluate communication methods for their effectiveness in given situations. 
COMM 362,/562 Communication Cases and Campaigns 3 Cr.,  This course examines and evaluates real world examples of strategic communication and explores consequences for stakeholders in a variety of contexts including public relations corporate communication organizational communication and communication law. May involve researching and writing an original case study. 
COMM 363, Public Relations: Agency Perspective 3 Cr.,  This course addresses the professional experience of working with clients in a public relations agency including conducting public relations research developing strategies to foster brand identification among multiple stakeholders articulating the organization's role in corporate social responsibility managing reputation and crisis communication and working across multiple platforms including digital and social media. 
