,School,CourseID,Descriptions
0,2011Cornell,BEE 1510 Introduction to Computing ,"Statistics concentration: Students must complete three advanced courses in statistics, computer science, operations research, or computational biology, including at least two from the list below (for complete list, go to www.bscb.cornell.edu/majReq.php):"
1,2011Cornell,"CSS 4110 or 4200, or equivalent, or ",permission of instructor. S. DeGloria. Introduces navigation-grade GPS instruments used in agricultural and environmental science. Topics include instrument familiarization; field-data collection and processing; real-time and post-differential correction; and GPS-GIS integration and mapping of geo-positional data.
2,2011Cornell,DSOC 6150 Qualitative Research Methods ,"Spring. 3 credits. L. Williams. This seminar introduces students to a number of qualitative research methods in the social sciences. Discusses field observation, archival research, in-depth individual interviews, and focus group interviews. Assesses the strengths and weaknesses of various strategies of field research and consider a range of practical matters such as choice of research site (and sample where appropriate). Considers choice of research questions and issues of feasibility in research plans. Ethical considerations are highlighted."
3,2011Cornell,EAS 7650 Topics in Paleoecology ,1 credit. S–U grades only. G. Dietl.
4,2011Cornell,LA 4120 Professional Practice ,"1 credit. Presents the student with an understanding of the emerging role of the professional landscape architect. The course helps students explore various types of practice and introduces the problems and opportunities students may encounter in an office or in other professional situations. Topics include job-seeking preparation, practice diversity, marketing professional services, office and project management, construction management, and ethics."
5,2011Cornell,LSP 3760/6760) ,"3 credits. A. Sanchez. This course offers students an opportunity to understand urban dynamics in a rapidly changing region of the world. We ask how colonial powers, the nation-state, and global economic forces have shaped Latin American urban landscapes and the patterns of daily life in the city. The first part of this course explores the social, political, and spatial rural-urban flows, socio-spatial segregation, housing environment and employment. The second half of the course focuses on responses to these social and economic transformations; violence and repression, coping strategies, social movement, and transmigration."
6,2011Cornell,CRP 5450 Inferential Statistics for Planning and Public Policy ,or spring. 3 credits. N. Brooks. This course is an introduction to the inferential statistical methods and econometrics/regression analysis needed to understand empirical public policy and planning research and to do basic applied public policy analysis. The statistical concepts are illustrated using data and examples primarily from the fields of public policy and planning.
7,2011Cornell,CRP 6210 Quantitative Techniques for Policy Analysis and Program Management ,"Spring. 4 credits. D. Lewis. Examines selected analytical techniques used in the planning and evaluation of public policy and public investments. Topics include simulation modeling, benefit-cost and cost-effectiveness analysis (including capital budgeting), and optimization strategies."
8,2011Cornell,CRP 6311 Consulting for Nonprofit and Government Organizations ,"and spring. 4 credits. L. Miller. This class teaches practical skills that will enable students to work with clients in the local community, learn about organizational structure and culture, and gain real-world experience as they complete a public-service project. Students receive instruction on topics such as organizational development, program evaluation, project management, professional communication, and strategic planning. A significant portion of the course will focus on project management."
9,2011Cornell,"PE 1515 Handgun Safety, Introduction to ","spring, and summer (six weeks). Fee charged. Instruction in use of pistol in the three modes of 50-foot competitive target shooting—slow fire, timed fire, and rapid fire. Emphasis on safety and responsibility while firing."
10,2011Cornell,CS 6742 Natural Language Processing and Social Interaction ,"Spring. 3 credits. Prerequisites: CS 2110 or equivalent programming experience; course in artificial intelligence or any relevant subfield (e.g., NLP, information retrieval, machine learning); graduate standing; or permission of instructor."
11,2011Cornell,CS 7594 Seminar on Computational Issues in Medicine ,1 credit. Prerequisites: none. An overview of computational issues that arise in the clinical practice of medicine. Topics include the role of IT in clinical practice; medical imaging problems in CT and MR; data mining; clinical decision support; workflow optimization; electronic medical records and health care IT standards. Lectures are given primarily by attending physicians from the Department of Radiology at Weill Cornell Medical College. Open to students at all levels.
12,2011Cornell,STSCI 2100 Introductory Statistics ,"or spring. 4 credits. Introduction to the basic concepts of probability, statistics and data analysis. Descriptive methods, normal theory models, and inferential procedures are considered. Topics include basic statistical designs, an introduction to probability, estimation, confidence intervals, tests of significance for a single population mean and proportion, the difference in two population means and proportions, ANOVA, multiple linear regression, and contingency tables."
13,2011Cornell,AEP 4900–4910 Independent Study in Engineering Physics ,"spring. Credit TBA. Laboratory or theoretical work in any branch of engineering physics under the direction of a member of the faculty. The study can take a number of forms; for example, design of laboratory apparatus, performance of laboratory measurements, computer simulation or software developments, theoretical design and analysis. Details TBA with respective faculty member."
14,2011Cornell,CHEME 7510 Mathematical Methods of Chemical Engineering Analysis ,"4 credits. Y. L. Joo. Application of advanced mathematical techniques to chemical engineering analysis. Mathematical modeling, scaling, regular and singular perturbations, multiple scales, asymptotic analysis, linear and nonlinear ordinary and partial differential equations, statistics, data analysis, and curve fitting."
15,2011Cornell,CEE 6000 Numerical Methods for Engineers ,"3 credits. P. J. Diamessis. The primary focus is algorithm implementation within the context of engineering applications (spanning fluid and solid/fracture mechanics and beyond). Student projects include parallel implementation using resources at the Theory Center. Topics include sources of error and error propagation, eigenvalue/eigenvector computation, solution of linear systems via direct or iterative methods and issues of parallel implementation, least squares approximation of lab/simulation data, solution of non-linear equations, interpolation in one and two dimensions, fast Fourier transforms (serial vs. parallel) and wavelets."
16,2011Cornell,CEE 6150 Digital Image Processing ,"Spring. 3 credits. W. D. Philpot. An introduction to digital image-processing concepts and techniques, with emphasis on remote-sensing applications. Topics include image acquisition, enhancement procedures, spatial and spectral feature extraction, and classification, with an introduction to hyperspectral data analysis. Assignments require the use of image-processing software and graphics."
17,2011Cornell,CEE 6930 Public Systems Modeling ,"4 credits. D. P. Loucks. An introduction to the art of model building and use, especially related to public sector planning and management issues. The course focuses on the quantitative systems approach for identifying and evaluating alternative possible decisions and their physical, economic, environmental, and social impacts. Modeling methods include various deterministic and probabilistic optimization and simulation models, decision analysis, evolutionary search algorithms, and statistical models applied to a variety of public sector issues. The aim of all of this “modeling technology” is to help us generate and communicate information that can assist and better inform public decision-making."
18,2011Cornell,CEE 7770 Advanced Concepts in Finite Element Methods ,"Spring. 3 credits. W. Aquino. The main objective of this course is to introduce the student to modern techniques used for solving partial differential equations using finite element methods. In addition, half of the course is devoted to advanced programming techniques to produce fast and robust finite element computer codes. The course covers formal mathematical formulations of the finite element method using function spaces, extensions of the finite element method, optimization of continuous systems, object-oriented implementations, and an introduction to multilevel techniques such as multigrid and domain decomposition."
19,2011Cornell,EAS 7650 Topics in Paleoecology ,1 credit. S–U grades only. G. Dietl.
20,2011Cornell,ORIE 5610 Financial Engineering with Stochastic Calculus II ,"Spring. 4 credits. Prerequisite: ORIE 5600. Building on the foundation established in ORIE 5600, this course presents no-arbitrage theories of complete markets, including models for equities, foreign exchange, and fixed-income securities, in relation to the main problems of financial engineering: pricing and hedging of derivative securities, portfolio optimization, and risk management. Other topics include model calibration and incomplete markets."
21,2011Cornell,ORIE 7190–7191 Selected Topics in Applied Operations Research ,spring. Credit TBA. Current research topics dealing with applications of operations research.
22,2011Cornell,ORIE 9000 Operations Research Graduate Colloquium ,"spring. 1 credit. Weekly one and one-half hour meeting devoted to presentations by distinguished visitors, by faculty members, and by advanced graduate students on topics of current research in the field of operations research."
23,2011Cornell,DEA 2550 Introduction to Facility Planning and Management ,"2 credits. Letter grades only. F. Becker. Introduction to the field of facility planning and management. Course examines how the planning, design, and management of an organization’s physical facilities can help it meet its objectives. Through readings, lectures, and discussions, students become familiar with basic characteristics and issues of strategic planning, space planning and design, project management, building operations, workplace change management, real estate, and computer-aided facility management systems. Different approaches to sustainable facility design and issues in effectively managing and operating green facilities are explored in a term project working with organizations that have implemented sustainable designs, policies, and practices."
24,2011Cornell,DEA 4010 Empirical Research ,For study that predominantly involves data collection and analysis or laboratory or studio projects.
25,2011Cornell,PAM 2000 and 2100. S–U or letter grades. ,"R. Geddes. Uses economic analysis to study the interaction of the market, the corporation, and the law and how these interactions affect the well-being of shareholders and consumers. Examines the costs and benefits of the corporate form of organization. The legal institutions defining the corporation, such as limited liability and shareholder voting, are analyzed along with regulations governing these institutions. A particular focus is mechanisms that control the behavior of managers. Those mechanisms include hostile takeovers, insider trading, outside directors on the board, the role of large investors, and executive compensation plans. Additional topics include government ownership of corporations and nonprofit enterprises."
26,2011Cornell,PAM 5280 Fundamentals of Population Health ,"Spring. 3 credits. J. Carmalt. Provides students with training in the language, theories, concepts, methods, measurement, analysis, and implementation of population health. A framework of core functions and essential features of population health is used to familiarize students with the unique challenges of disease surveillance, health measurement and monitoring, identification of health indicators and determinants, measuring health disparities, and developing population health policies and programs. Key to this course is the role of epidemiology in evaluating population health, and developing interventions to improve different populations’ health and reduce health disparities. Students develop competencies in population health analysis and management such as identification, analysis, evaluation, estimation, inference, implementation, and evaluation which are not only valued in the job market but also welcomed in a variety of research and other employment fields."
27,2011Cornell,"PAM 6040 Qualitative, Survey, and Mixed-Method Approaches to Policy Research ",Spring. 3 credits. Prerequisite: Ph.D. students. Highly recommended: previous course in social science research methods.
28,2011Cornell,ILROB 4710 Organizations and Negotiation ,"Spring. 4 credits. If you have completed ILRLR 6011 you are NOT eligible to take this course. Course fee: $31, which includes cases for in-class negotiation simulations, online Negotiation Style Survey, and individualized assessment report."
29,2011Cornell,ILROB 5790 Negotiation and Conflict Resolution ,"Spring. 4 credits. Course fee: $31, which includes cases for in-class simulations, online Negotiation Style Survey, and individualized assessment report."
30,2011Cornell,ILRST 3110 Practical Matrix Algebra ,"4 credits. J. Bunge. Matrix algebra is a necessary tool for statistics courses such as regression and multivariate analysis and for other “research methods” courses in various other disciplines. This course provides students in various fields of knowledge with a basic understanding of matrix algebra in a language they can easily understand. Topics include special types of matrices, matrix calculations, linear dependence and independence, vector geometry, matrix reduction (trace, determinant, norms), matrix inversion, linear transformation, eigenvalues, matrix decompositions, ellipsoids and distances, and some applications of matrices."
