school,total words,matches,splits,unsplits,average word gain,bad spacing
Brown,279345,2064,2057,7,1.9859496124031009,1
UniofTexas,814664,146,128,18,2.26027397260274,0
ColgateUni,321882,28,13,15,0.7142857142857143,0
UniOfChicago,554722,89,64,25,1.404494382022472,0
Alma,74112,13,8,5,1.1538461538461537,0
Williamwoods,118900,11,5,6,1.0,0
Pittsburgh,646407,2622,2573,49,2.3421052631578947,1
NorthCentralMissouri,70809,4,3,1,3.25,0
Denison,165174,1126,1120,6,1.9733570159857905,1
TexasA&M,163357,7,1,6,0.2857142857142857,0
Youngstown,550367,4042,4010,32,2.00272142503711,1
ucat1920,249593,7,3,4,0.5714285714285714,0
Caldwell,92789,635,631,4,5.462992125984252,1
Pepperdine,152506,12,6,6,1.0833333333333333,0
2011Cornell,755342,6018,5981,37,7.822864739115985,1
Purdue,429043,75,46,29,1.2666666666666666,0
Northwestern,196260,32,26,6,1.5,0
Sagu,114211,7,4,3,1.2857142857142858,0
UniversityofWestGeorgia,243061,20,16,4,1.9,0
framingham,168527,26,14,12,1.5384615384615385,0
Grandview,137841,9,5,4,0.8888888888888888,0
WilliamJewell,114132,12,6,6,0.9166666666666666,0
SouthwestBaptist,61424,3,2,1,2.0,0
EastCentral,179155,7,2,5,0.5714285714285714,0
Desales,151082,18,15,3,1.7222222222222223,0
EastStroudsburg,94604,12,5,7,0.4166666666666667,0
OregonUni,613631,67,54,13,1.6567164179104477,0
NotreDame,86065,6,3,3,0.8333333333333334,0
McKendree,117317,5,3,2,0.8,0
UniofNorthCarolina,734999,417,369,48,1.7625899280575539,0
Carlow,19823,10768,10766,2,6.414190193164933,1
Smith,316187,36,25,11,1.1666666666666667,0
