,CourseID,Description
0,"('BrownCut.pdf', 'AFRI 0090')",introduction africana introduces vibrant field critically exploring links cultural intellectual practices people african descent throughout african critical overview theoretical orientations multiple methodological strategies discipline into three examine politics identity formation literary cultural theories practices african hamlin 
1,"('BrownCut.pdf', 'AFRI 0110C')",civil rights rich written civil rights movement accounts oral histories plots milestones civil rights several historical document tell civil rights movement compare contrast different texts analyze content era critical autobiographical limited hamlin 
2,"('BrownCut.pdf', 'AFRI 0210')",afro latin americans blackness americas.this focuses position national histories latin america slavery multidisciplinary engagement issues studentsto critical discussion national images realities institutions practices role national transnational consequences people dzidzienyo 
3,"('BrownCut.pdf', 'AFRI 0670')",global black decade black global phenomenon brazil caribbean consolidation portuguese africa rise black south africa represent key activists embrace black power movements portuguese africa radical tendencies movements answer 
4,"('BrownCut.pdf', 'AFRI 0980')",fela african freedom davis described fela future beyoncé attempt sounds like fela compose album africa controversial artist fela continues tobe invoked musical icon popular complexities fela activism his springboard examining african postcolonial masculinity creative african cities contemporary african culture cultural 
5,"('BrownCut.pdf', 'AFRI 0990')",black black interdisciplinary approach plays address issues black gay men offers black gay lesbian focuses analysis titles works gibson west afro evening videotapes enrollmentlimited terry-morgan 
6,"('BrownCut.pdf', 'AFRI 1020C')",three historical components south atlantic terms ofhistory culture contemporary economic colonialism africa brazil constitutes long nature portuguese colonialism comparison european colonial especially war manifestations starting point limited dzidzienyo 
7,"('BrownCut.pdf', 'AFRI 1020D')",race rights examination different kinds placed theoretical methodological various kinds protests movement revolts struggles independence key concepts power resistance subaltern hegemony identity politics perry 
8,"('BrownCut.pdf', 'AFRI 1030')",introduces crime justice feminist queer prison frameworks narratives people african descent u.s. since 
9,"('BrownCut.pdf', 'AFRI 1050A')",advanced rpm level rpm playwriting rpm playwriting intermediate rpm playwriting workshop terry-morgan 
10,"('BrownCut.pdf', 'AFRI 1050D')",intermediate rpm level rpm playwriting want rpm plays want begin new project workshop terry-morgan 
11,"('BrownCut.pdf', 'AFRI 1050E')",rpm method rpm playwriting guides process developing new plays informed research workshop terry-morgan 
12,"('BrownCut.pdf', 'AFRI 1060E')",west african writers west african writers role play changing examination select group west african writers dealt relate role state management group relations politics gender civil military relations andthe new civil society limited dzidzienyo 
13,"('BrownCut.pdf', 'AFRI 1060U')",introduction myriad images global imagination evolution formation capitalism counterpoint human africa gets mobilized popular beyond idea africa african continent examine broad disciplinary perspectives cultural economic diversity disciplines economics politics cultural gender among up-to-date information please visit brown.edu https //cab.brown.edu descriptions 
14,"('BrownCut.pdf', 'AFRI 1100X')",black fiction fiction genre george butler along related album covers canonical fantasy works goal genre histories black contributions fiction 
15,"('BrownCut.pdf', 'AFRI 1110')",voices interdisciplinary exploration african-american black plays thepresent focuses development thesis incremental terry-morgan 
16,"('BrownCut.pdf', 'AFRI 1150')",philosophy.an introduction field philosophy field identifying african background schools second half consists intensive comparative focus epistemologies henry 
17,"('BrownCut.pdf', 'AFRI 1210')",afro-brazilians brazilian afro-brazilians specifically uses africana contemporary brazil politicaland cultural movements among afro-brazilians domestic politics andits brazilian race relations framework texts variety disciplines portuguese inform dzidzienyo 
18,"('BrownCut.pdf', 'AFRI 1360')",africana knowledge texts issues africana discipline byengaging critical readings central texts discipline raise issues senior capstone senior africana concentrators others instructorpermission limited 
19,"('BrownCut.pdf', 'AFRI 1920')",inequality historical takes historical perspective draws 19th economic context focusingon race gender shape public consequences incarceration medicine chicago restricted second braun 
20,"('BrownCut.pdf', 'AFRI 1930')",race difference biomedical research advanced places current over race historical context goal howthe informs scientific questions ask design interpretation findings theories biomedical technology knowledge race difference historically does race relate gender andclass understanding previous coursework africana preferred enrollmentlimited braun 
21,"('BrownCut.pdf', 'AFRI 1970')",independent reading research.section numbers vary please correctsection number crn registering 
